id,title,organization,url,contact,internality,needs,inventionTypes,locations,domains,states,problemsSolved,whatYouGet,whyYouMightCare,usefulWhen,notFor,eligibility,caveats,investigatorReturns,funding,status,nextDeadline,companyRequired,requiresDisclosure,contextGate,modalityLock
icts-regulatory-support,ICTS Regulatory Support Center (RSC),"Institute of Clinical and Translational Sciences, WashU",https://icts.wustl.edu/items/regulatory-support-center-rsc/,reg_spt_center@wusm.wustl.edu,washu,expertise-mentorship|build-test,broad,washu,therapeutic|device|diagnostic|software|clinical-workflow,s6|s7|s8,regulatory|ind|ide|irb|clinical-trial,"Hands-on regulatory support for human-subjects studies, including protocol and consent development, IRB submissions and maintenance, FDA drug/device submissions such as IND/IDE applications, monitoring, study coordination, audits, and study close-out.","Turns 'we need a regulatory plan' into concrete study and submission work. This is especially important when the next milestone depends on an FDA-regulated drug, device, or investigator-initiated clinical study.","A human study needs IRB, IND/IDE, monitoring, or regulatory planning|You need help translating a protocol into the institutional and FDA submission path|Regulatory execution is becoming the blocker to a clinical milestone",Patent prosecution or technology licensing|General FDA market strategy detached from a research study,Designed for ICTS investigators conducting human-subjects research. Service level and project requirements vary; request support through the RSC/CCS process.,Regulatory support does not itself substitute for required HRPO/IRB or FDA approvals.|Some services may carry project-specific costs or coordination requirements.,a concrete regulatory execution plan|IND/IDE and IRB submission support|lower operational friction for investigator-initiated trials,,evergreen,,false,false,,
trial-care,Trial-CARE,"Center for Clinical Studies · ICTS, WashU",https://icts.wustl.edu/items/trial-care/,trialcare@wustl.edu,washu,build-test|expertise-mentorship,broad,washu,therapeutic|device|diagnostic|software|clinical-workflow,s6|s7|s8,multicenter-trial|trial-startup|recruitment|single-irb,"Enhanced support for WashU faculty conducting investigator-initiated clinical trials, especially multi-center studies. Trial-CARE helps with startup and implementation, single-IRB and master-agreement pathways, regulatory resources, anticipated barriers, coordination, and tailored recruitment planning.",A technically ready intervention can still fail to travel because a multi-site trial is hard to start and coordinate. Trial-CARE is a concrete execution resource once the next proof requires investigator-initiated clinical testing across sites.,"You are planning an investigator-initiated clinical trial|A multi-center study needs startup, coordination, single-IRB, agreement, or recruitment support|The evidence milestone is clinically clear but operationally difficult",A single preclinical experiment|General commercialization or founder coaching,Washington University faculty conducting investigator-initiated clinical trials. Trial-CARE advertises a free consultation; project support depends on trial needs.,"Best fit is investigator-initiated clinical-trial execution, particularly multi-center work.",faster and more structured trial startup|coordination and recruitment planning|a path through multi-site operational barriers,,evergreen,,false,false,multicenter-trial,
mhealth-research-core,mHealth Research Core (mHRC),"Institute of Clinical and Translational Sciences, WashU",https://icts.wustl.edu/items/mhealth-research-core/,Katie Keenoy · keenoyk@wustl.edu,washu,build-test|expertise-mentorship,software-digital|devices-diagnostics,washu,software|device|clinical-workflow,s1|s2|s3|s6|s7,digital-health|mhealth|remote-research|part-11,"Consultation and implementation support for mHealth and digital-health research using smartphones, websites, sensors, wearables, remote study methods, and related technology. The core also provides guidance on topics such as remote research, technology partnerships, and FDA Part 11-regulated digital workflows.","Provides a WashU-specific bridge between a digital-health idea and a fundable, executable human-research project — a gap that generic software development or clinical-study support does not fully cover.","A study uses wearables, sensors, apps, web tools, telehealth, or remote data collection|You need to design or operationalize an mHealth research workflow|Digital tools introduce Part 11, vendor, remote-consent, or implementation questions",General-purpose software engineering unrelated to health research|A substitute for OTM when software IP or licensing is the question,WashU/ICTS-facing research resource; consult the core for project fit and service details.,"This is a research implementation core, not a software accelerator or venture program.",a fundable digital-health study plan|remote-study and mHealth implementation support|clearer regulatory and vendor choices for digital research,,evergreen,,false,false,digital-health|mhealth,
hope-center,Hope Center for Neurological Disorders,Washington University in St. Louis,https://hopecenter.wustl.edu/funding-awards/pilot-projects/,,washu,funding|expertise-mentorship,therapeutics|devices-diagnostics|research-tools,washu,therapeutic|device|research-tool,s1|s2|s3|s4,pilot-funding|collaborators|neuroscience,Translational neuroscience community and pilot opportunities. Current pilot eligibility requires the project PI to be a Hope Center faculty member; cycle-specific requirements change.,"Pilot data, collaborators, and neuroscience-specific infrastructure can strengthen papers and external grant applications. Commercialization is not required.",The work addresses neurological disease|You need collaborative pilot funding or specialized neuroscience infrastructure,Investigators seeking a general startup accelerator|Projects with no neurological-disease connection,Hope Center faculty membership required for the PI of the current pilot program; collaborator membership rules are less restrictive.,Confirm current membership and cycle requirements before applying.,pilot data|collaborators|grant leverage,Pilot awards (cycle-specific; verify current call),evergreen_program_verify_current_call,,false,false,,
xir,OTM Experts-in-Residence (XiR),"Office of Technology Management, WashU",https://otm.wustl.edu/items/experts-in-residence/,Start with OTM · otm@wustl.edu,washu,expertise-mentorship,broad,washu,device|diagnostic|software|therapeutic|research-tool,s4|s5|s6,expertise|external-feedback,Access to experienced expertise within the OTM innovation network. OTM publishes XiR eligibility for participating experts; expert participation itself is invitation-only.,"You do not have to independently locate every expert. This is domain judgment, not a request that you become a founder.","The project needs experienced external judgment rather than general business instruction|You want to define a product, technical, or milestone question",Founder coaching (see EIR / New Ventures)|Open office hours without OTM context,Researcher-facing routing criteria are unspecified publicly; access should be treated as OTM-mediated.,Start with OTM. Do not treat XiR as a walk-in mentoring pool.,targeted expert advice|clearer next technical or product milestone,,evergreen,,false,true,,
otm-eir,OTM New Ventures / Entrepreneur-in-Residence,"Office of Technology Management, WashU",https://otm.wustl.edu/disclose-inventions/new-ventures/,OTM New Ventures · otm@wustl.edu,washu,startup-support|expertise-mentorship,broad,washu,therapeutic|device|diagnostic|software,s7|s8,startup|founder-coaching|business-model,"Founder coaching, business-case and value-proposition refinement, business-model work, and startup mentoring. The EIR program is administered through New Ventures.",Faculty can explore company formation without personally having all CEO or business-development expertise. Startup intent is relevant; this is not the default path for every disclosed invention.,A startup is becoming a plausible vehicle|Scientific founders need experienced company-building help,Investigators who want licensing or distribution without founding|Early ideas with no company hypothesis,OTM states that the research team’s WashU patent must be foundational to the startup license; EIR connection is at New Ventures’ discretion.,"EIR placement is only for teams focused on a startup based on WashU IP; an already-incorporated company is not the stated prerequisite.|EIR requires a patent disclosure, foundational WashU patent rights for the startup license, a pitch deck developed with New Ventures, and coachability; placement is discretionary.|This is founder support, not general scientific mentoring.",company-building coaching|a clearer go/no-go on founding|possible license path,,evergreen,,false,true,,
skandalaris-vd,Skandalaris Venture Development,"Skandalaris Center, WashU",https://skandalaris.wustl.edu/resource/venture-development/,sc@wustl.edu,washu,startup-support|expertise-mentorship,broad,washu,device|software|research-tool|therapeutic|diagnostic,s4|s6|s7|s8,venture-exploration|business-model|pitch,"30-minute advising on brainstorming, business plans, financial models, pitching, and next-step guidance.",An excellent low-commitment way to ask whether entrepreneurship is even sensible. No incorporation or mature startup is required.,"You want help thinking through an idea, model, or next entrepreneurial step|You are exploring founding without committing to it",The Skandalaris Venture Competition — current rules prohibit WashU / university IP and licenses to university IP|A substitute for OTM evaluation of a WashU invention,"WashU students, faculty, staff, and alumni; ventures may be at any stage.",Do not confuse Venture Development advising with the Skandalaris Venture Competition.|SVC currently excludes WashU IP — a common mis-route for faculty inventions.,a low-stakes read on whether a company is justified|help framing a model or pitch if you proceed,,evergreen,,false,false,,
healthcare-innovation-lab,BJC / WashU Healthcare Innovation Lab,BJC HealthCare · WashU Medicine,https://research.washu.edu/faculty-resources/,,washu,build-test|expertise-mentorship,software-digital|devices-diagnostics,washu,software|device|clinical-workflow|algorithm,s1|s2|s3|s4|s6|s7,care-delivery-innovation|digital-health|clinical-workflow|pilot|implementation,"A joint BJC HealthCare / WashU Medicine health-system innovation program that identifies, develops, pilots, and evaluates applied innovations intended to improve care delivery and population health. Publicly described work includes predictive analytics, digital point-of-care tools, remote monitoring, and other operational innovations.","For inventions whose real test is whether they improve care inside a health system, a clinical operations partner can matter more than a startup accelerator. The Lab is a potential bridge from an academic or digital idea to a real-world care-delivery pilot.","The innovation changes clinical workflow, care delivery, remote monitoring, or health-system operations|You need to test practical value in a BJC/WashU care environment|The primary question is implementation and clinical-system value rather than licensing alone",Assume every faculty invention is eligible for a Lab pilot|General patent/licensing strategy or basic laboratory prototyping,"The Lab is a joint BJC/WashU health-system innovation program. Public WashU sources describe it as a faculty resource, but a standing investigator-facing intake/eligibility process is not clearly specified; contact the program before treating it as an available pilot route.","Selection for a formal pilot is not guaranteed and public intake criteria are not clearly specified.|Best treated as a targeted collaboration resource for care-delivery innovation, not a general-purpose core.",health-system feedback|real-world pilot and implementation evidence|clinical and operational collaborators,,evergreen_program_verify_current_call,,false,false,clinical-workflow|digital-health,
siteman-sip-rda,Siteman Investment Program Research Development Awards (SIP RDA),"Siteman Cancer Center, WashU",https://siteman.washu.edu/research/funding-opportunities/,,washu,funding,broad,washu,therapeutic|device|diagnostic|software|research-tool,s1|s2|s3|s6,pilot-funding|preliminary-data|cancer,"Pilot funding for pioneering cancer research intended to generate data that can leverage external peer-reviewed funding. The program spans cancer discovery, diagnosis, imaging, treatment, prevention, and translational/implementation work depending on the current cycle.","For cancer-related inventions or enabling technologies, the immediate need may be stronger scientific or translational evidence rather than a commercialization grant. SIP RDA is a major internal pilot-funding route for that work.",The project is cancer-related and needs pilot or preliminary data|A defined experiment could unlock an NIH/NCI application or translational next step,Projects with no cancer relevance|Assume a standing open call or fixed award amount without checking the current RFA,Siteman membership and cycle-specific eligibility apply. Current RFA terms should be checked before routing an investigator to the program.,"This is cancer-research pilot funding, not a startup program.|Eligibility and award categories change by cycle; verify the current RFA.",pilot data|external-grant leverage|cross-disciplinary cancer collaborations,Pilot funding; amount and categories are cycle-specific,evergreen_program_verify_current_call,,false,false,cancer,
ecrc,Emergency Care Research Core (ECRC),Washington University in St. Louis · Department of Emergency Medicine,https://research.washu.edu/core-facilities/ecrc/,,washu,build-test|expertise-mentorship,broad,washu,therapeutic|device|diagnostic|clinical-workflow,s6|s7,emergency-care|clinical-research|feasibility|recruitment|enrollment,"Emergency-care clinical and translational research infrastructure, including feasibility consultation plus recruitment and enrollment support for studies involving acute illness, injury, diagnostics, time-sensitive interventions, and emergency-care workflows.",Emergency-department studies have operational constraints that generic clinical research support may not solve. ECRC is a specialized execution resource when the invention must be evaluated in acute or time-sensitive care.,"A device, diagnostic, intervention, or workflow must be studied in emergency care|Recruitment or enrollment in acute/time-sensitive settings is a major feasibility risk",Clinical studies with no emergency-care component|General commercialization strategy,Service available to Washington University investigators. Contact the core for pricing and project-specific feasibility.,Highly specialized; show only when emergency-care context is relevant.,emergency-care feasibility|patient recruitment/enrollment support|more executable acute-care studies,,evergreen,,false,false,emergency-care,
biogenerator,BioGenerator Ventures,BioSTL,https://www.biostl.org/what-we-do/biogenerator,,regional,startup-support|funding,therapeutics|devices-diagnostics|research-tools,st-louis,therapeutic|device|diagnostic|research-tool,s7|s8|s9,startup|capital|lab-space|operators,"Early-stage capital, expert guidance, laboratory space, and hands-on company support in human health and agriculture.",A strong regional bridge from university invention to an investable company and external talent. A first conversation can precede a mature fundraising round.,"A bioscience opportunity is becoming a company|Founders need investment, operators, space, or investor connections",Academic projects with no company hypothesis|A general faculty grant program,Focus on high-growth science-based companies. Exact investment criteria and terms are deal-specific.,"This is company-building support, not an academic pilot grant.",company infrastructure and talent|early capital|regional investor network,Early-stage company capital (deal-specific),evergreen,,true,false,,
nih-ninds-sbir,NIH SBIR/STTR small-business funding,NIH SEED,https://seed.nih.gov/small-business-funding/find-funding/sbir-sttr-funding-opportunities,,federal,funding,broad,national,therapeutic|device|diagnostic|software|research-tool,s6|s7|s8|s9,funding|small-business,"NIH SBIR/STTR funding for eligible U.S. small businesses conducting biomedical R&D. The program can support scientists, engineers, prototypes, validation, and commercialization-oriented research while preserving equity; institute-specific scientific fit still matters.",A major non-dilutive funding route once product-oriented biomedical R&D belongs inside an eligible U.S. small business. Keep this card broad; use institute-specific cards such as NINDS Translational Devices when the modality and disease area justify them.,A biomedical product-oriented project has a credible small-business path|A company needs non-dilutive R&D funding before or alongside private capital|You need to distinguish SBIR/STTR from academic-only grant mechanisms,An academic laboratory acting alone; the applicant must be an eligible U.S. small business|Assume this replaces institute-specific scientific fit or current NOFO review,SBIR/STTR applicant must meet U.S. small-business eligibility. Universities may participate as research partners/subawardees; STTR has formal research-institution participation requirements. Confirm current NIH and institute-specific rules before submission.,An academic lab alone is not an SBIR/STTR applicant.|Use the separate NINDS Translational Devices card for nervous-system therapeutic/diagnostic device programs and Missouri SBDC for local proposal assistance.|I-Corps at NIH is generally downstream of a qualifying Phase I award — not an entry program.,substantial non-dilutive company R&D funding|funded technical and translational milestones|a bridge to later validation and commercialization work,NIH SBIR/STTR (verify current NOFO and institute fit),evergreen_program_verify_current_call,,true,false,,
washu-innovation,WashU Innovation,Washington University in St. Louis,https://innovation.wustl.edu/,,washu,expertise-mentorship,broad,washu,therapeutic|device|diagnostic|software|research-tool,s0|s1,orientation|discovery,"University-wide roadmap and directory spanning commercialization, education, funding, and space. WashU describes its process as Identify → Evaluate → Connect → Support → Communicate.",Useful when you do not yet know which part of the university ecosystem is for you. No company or disclosure is required merely to explore.,You do not know where in the university ecosystem you belong|You want an institutional map before a specific program,"Investigator-specific eligibility or a next experiment|A substitute for OTM, ICTS, or a modality-specific program",General WashU ecosystem resource.,"This is orientation. Route onward into OTM, funding, or a translational program.",orientation|discovery of the right door,,evergreen,,false,false,,
quick-start-license,OTM Quick Start License,"Office of Technology Management, WashU",https://otm.wustl.edu/disclose-inventions/quick-start-license/,OTM New Ventures · otm@wustl.edu,washu,ip-licensing|startup-support,broad,washu,therapeutic|device|diagnostic|software,s8,license|startup,"A standardized startup license. Current public terms include no WashU equity and a fixed 2% patent royalty on product sales, with additional sublicense terms.",Can simplify license formation once a WashU-IP startup is actually the vehicle — not a reason to create one.,A qualifying WashU-IP startup is ready to license foundational university patent rights|Standardized terms could reduce negotiation burden,Investigators who want to license to an existing company rather than found|An early idea with no company hypothesis,Qualifying startup and IP conditions apply. Contact OTM before assuming eligibility.,"This is a vehicle after startup direction is credible, not a reason to incorporate.",a simpler license path once founding is justified,,evergreen,,true,true,,
skandalaris-ideabounce,Skandalaris In-Residence / IdeaBounce,"Skandalaris Center, WashU",https://skandalaris.wustl.edu/programs/,sc@wustl.edu,washu,expertise-mentorship|industry-connections,broad,washu,device|software|research-tool|therapeutic|diagnostic,s4|s6|s8,feedback|networking|venture-exploration,"Experienced entrepreneur and industry perspectives. IdeaBounce provides pitching, feedback, and networking.",Useful before committing to a venture. You do not need a finished company or investor deck.,You want founder or industry feedback on how an idea is communicated|You want a low-stakes venue before venture commitment,A WashU-IP faculty invention seeking the Venture Competition awards|A substitute for OTM evaluation,"Skandalaris services broadly include WashU faculty, staff, students, and alumni; individual event requirements vary.",Do not confuse this with the Skandalaris Venture Competition.,early feedback|network without a finished deck,,evergreen,,false,false,,
skandalaris-svc,Skandalaris Venture Competition (SVC),"Skandalaris Center, WashU",https://skandalaris.wustl.edu/program/skandalaris-venture-competition/,sc@wustl.edu,washu,funding|startup-support,broad,washu,device|software|research-tool|therapeutic|diagnostic,s8,startup|competition,"Competition awards. Fall 2026 materials describe an awards pool of up to $25,000, subject to limits per startup.",Can provide venture validation and money for an eligible student or recent-alumni venture that does not rely on university IP. It should normally be suppressed for a faculty WashU-IP invention.,An eligible student or recent-alumni venture does not rely on university IP,Faculty inventions that are WashU IP|Any startup whose license is to WashU or another university’s IP,"Qualifying WashU student or recent alum and ownership rules apply. WashU IP is not permitted, nor is a license to IP from WashU or another university.",Critical trap: current rules prohibit WashU / university IP and licenses to university IP.,venture validation — only if you are actually eligible,"Awards pool up to $25,000 (verify current cycle)",evergreen_program_verify_current_call,,true,false,,
